날짜,일일 관객수,누적 관객수,스크린 수,상영 횟수,movie_title,runtime,budget,director,top_cast,yt_total_views,yt_total_likes,is_10m
2026-02-04,117783,147538,1658,6932,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
2026-02-05,91731,239269,1612,6723,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
2026-02-06,126625,365894,1653,7152,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
2026-02-07,327112,693006,1717,7714,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
2026-02-08,308083,1001089,1724,7292,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
2026-02-09,98379,1099468,1530,6494,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
2026-02-10,95582,1195050,1536,6557,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
2026-02-11,86924,1281974,1150,4203,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
2026-02-12,83916,1365890,1206,4331,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
2026-02-13,133573,1499463,1420,5369,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
2026-02-14,357886,1857349,1729,6851,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
2026-02-15,465257,2322606,1836,7248,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
2026-02-16,537175,2859781,1899,7804,왕과 사는 남자,117,6900000,장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 박지환, 이준혁, 안재홍, 이준혁, 김수진",51899605,571607,False
