영상 ID,영상 제목,채널명,업로드 날짜,조회수,좋아요 수,댓글 수
9sxEZuJskvM,[왕과 사는 남자] 공식 예고편,쇼박스 SHOWBOX,2026-01-13T22:59:01Z,2624819,16296,2496
WCVGPvEHVfA,여러분이 몰랐던 《왕과 사는 남자》 결말 해석 포함 총정리 리뷰💥(스포주의),매드무비 : MadMovie,2026-02-06T08:10:37Z,790088,5682,1023
pfx5Ujtq17Y,[문화연예 플러스] '왕과 사는 남자' 1천3백만 돌파 (2026.03.16/뉴스투데이/MBC),MBCNEWS,2026-03-15T22:09:53Z,14818,251,60
rREEED51rzA,[#벌거벗은한국사] 〈왕과 사는 남자〉보기 전 시청 추천✍️ 아직도 밝혀지지 않은 단종의 죽음을 둘러싼 미스터리💥,tvN D ENT,2026-02-06T11:30:54Z,1278032,9199,574
tRIr31Ym5Gw,와.. 또 봐도 웃기네ㅋㅋㅋ 《왕과 사는 남자》 재밌는 애드립 장면 및 비하인드 1탄💥,매드무비 : MadMovie,2026-02-15T09:13:33Z,2889611,29070,1581
bdmT6qnIaEs,#왕과사는남자 속 압도적 등장씬✨,쇼박스 SHOWBOX,2026-02-28T03:00:45Z,3515247,51221,1322
NhvFDmenpqc,《왕과 사는 남자》노비가 된 단종의 왕비가 어떻게 64년을 살아냈나,역사패치,2026-03-04T10:07:52Z,176357,4093,172
RSGdwUOCvSU,"""정말 이런 경험 처음이네요"" 대만에서 왕과 사는 남자,개봉이 되자 전부다 감동의 오열 / 봤나요? 이게 한국 영화 사극 입니다",지구본 뉴스,2026-03-15T08:05:27Z,138686,5061,228
mXdzRjnzL3Y,〈왕과 사는 남자〉 보기 전 꼭 봐야 할 단종의 생애 🔥2시간 요약🔥｜인수대비 | JTBC 120218 방송 외,DRAMA Voyage,2026-02-22T01:00:54Z,593098,6007,614
xyKccSCidRQ,#왕과사는남자 홍위 밥 먹이기,쇼박스 SHOWBOX,2026-03-05T03:00:59Z,3368628,48477,867
asD2S7aQrww,[#벌거벗은한국사]〈왕과 사는 남자〉 보러 가기 전 꼭 봐야 할 영상☝️ 최태성 쌤의 단종의 생애 족집게 강의👨‍🏫 | #티전드,tvN D ENT,2026-02-16T02:00:03Z,2556516,16096,879
PA4rsZbNVbA,[왕과 사는 남자] 공식 예고편,쇼박스 SHOWBOX,2026-01-13T23:53:05Z,7858370,64145,3018
0DbQy1uHav8,"""이제 강을 건널 때입니다""..단종을 삼켜버린 박지훈과 엄흥도를 완성한 유해진의 브로맨스ㅣ⚠️스포주의⚠️ 김만오의 심층리뷰 '시네만오Pick' ≪왕과 사는 남자≫",영화광 김만오,2026-02-20T10:08:12Z,1693872,16742,1105
lGMpJBq9yb4,"""와.. 또 봐도 미쳤네"" 천만 관객 《왕과 사는 남자》 박지훈이 발길 끊긴 영화관 부흥시킨 디테일 장면 및 비하인드",선물 sunmool,2026-03-03T14:00:14Z,501664,5723,372
dtMygEo0TCQ,와.. 진짜 미쳤습니다ㅋㅋ 《왕과 사는 남자》 재밌는 애드립 및 역대급 비하인드들 최종 3편 마무리💥,매드무비 : MadMovie,2026-02-28T09:48:12Z,446976,4748,322
w1Qdvj--CVE,"《왕과 사는 남자》 미쳤습니다..🔥 2년 만에 한국영화 ""천만""각인 이유 & 실제 역사까지 총정리",넷플릭스 뽕뽑기 [엘플릭스],2026-02-04T11:27:24Z,1178429,12747,1676
B8nrGFUnK10,역대급 텐션! 장항준 신작... 이동진은 어떻게 봤을까? [왕과 사는 남자],B tv 이동진의 파이아키아,2026-02-07T09:44:25Z,2049105,30929,2501
c8A-OVIIdQg,'두쫀쿠' 다음은 '왕과 사는 남자'…한국 영화 5위 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,2026-03-16T05:59:11Z,9378,188,25
xZ0PiZA37Cw,"""정말 최고의 경험이네요"" 왕과 사는 남자,미국 및 전세계 개봉을 하자 전부 울음바다/보셨죠? 이게 한국 영화 힘이네요",지구본 뉴스,2026-03-12T11:10:05Z,480861,8290,568
DFt9vSL1SJg,[선녀들] ※〈왕과 사는 남자〉 관람 전후 필수 시청※ 즉위부터 엄흥도와의 이야기까지 정리한 단종 총정리.zipㅣ#단종 #왕과사는남자 MBC191124방송,엠뚜루마뚜루 : MBC 공식 종합 채널,2026-02-18T03:00:12Z,1593543,12732,835
S1DeaO_41ac,[#유퀴즈온더블럭] 대한민국을 '단종 신드롬'으로 물들인 천만 배우 박지훈⭐️ 영화 〈왕과 사는 남자〉비하인드 대공개💥,tvN D ENT,2026-03-13T09:00:44Z,1032472,13462,674
PHM0ve7P4N8,"[자막/4K] 1,300만 돌파!!!! 장항준 기충전 시켜주는 왕과 사는 남자 GV 260211 #왕사남 #장항준 #송은이 #유해진 #GV",홍씨네 HONG-CINE ,2026-02-12T01:01:16Z,777607,12865,928
ug6Td787IvM,왕과 사는 남자 (단종) 5분 요약 노래 part.1,도르송,2026-03-14T09:30:37Z,55277,719,12
Z-iYpEBgZSM,"1천만 관객 '단종 앓이' 〈왕과 사는 남자〉, 25번째 천만영화 등극 (2026.03.06/뉴스데스크/MBC)",MBCNEWS,2026-03-06T21:11:47Z,132093,1472,178
qp11GNgSNYM,[👑 왕과 사는 남자] 조승우 - 꽃이 피고 지듯이 MV,띵작발굴단,2026-02-07T08:40:07Z,1997203,26547,1491
l5wIpwKq4LM,모두를 오열하게 한 유해진의 명장면 #왕과사는남자 #유해진 #박지훈,순간한컷,2026-03-16T08:50:02Z,7567,128,0
y1TOVvF5bi0,"""만약에 유해진이 잘생겼으면 BL물 돼서 영화 ㅈ됐을 듯"" 2년 만의 천만 영화인데 호불호 ㅈㄴ 갈리는 [왕과 사는 남자] 모음집 & 솔직 리뷰 ㅋㅋㅋㅋㅋㅋ",김준표,2026-03-07T09:01:19Z,903436,10489,2355
cewLpkOZc-k,"촌장 유해진 X 왕 박지훈, 역사가 지우려했던 이야기 | 왕과 사는 남자, MBC 260125 방송",출발! 비디오여행 : MBC 공식 채널,2026-01-26T01:00:00Z,1100619,6285,577
fm6Ko8doGBc,영화 이후 그들은 어떻게 됐을까..? 《왕과 사는 남자》 이후 인물들의 숨겨진 뒷이야기,매드무비 : MadMovie,2026-02-10T09:26:23Z,974966,6846,718
akbqWgw8RF8,[자막뉴스] '왕과 사는 남자'가 보여준 미덕...천만 백성 움직인 단종의 힘 / YTN, YTN,2026-03-07T06:35:09Z,779298,4932,793
